time,open,high,low,close,volume
2026-05-07 03:45:00+00:00,1.17513,1.17513,1.17486,1.17487,736.02
2026-05-07 04:00:00+00:00,1.17486,1.17508,1.17476,1.17504,644.4
2026-05-07 04:15:00+00:00,1.17505,1.17528,1.17503,1.17523,474.3
2026-05-07 04:30:00+00:00,1.17521,1.17535,1.17512,1.17517,595.49
2026-05-07 04:45:00+00:00,1.17518,1.17526,1.17505,1.17509,810.9
2026-05-07 05:00:00+00:00,1.17507,1.17532,1.17505,1.1752,1082.3899999999999
2026-05-07 05:15:00+00:00,1.17518,1.17523,1.17498,1.17513,953.6
2026-05-07 05:30:00+00:00,1.17514,1.17534,1.17513,1.17523,683.1
2026-05-07 05:45:00+00:00,1.17524,1.17537,1.17507,1.17518,825.89
2026-05-07 06:00:00+00:00,1.17518,1.1752,1.17492,1.175,1224.55
2026-05-07 06:15:00+00:00,1.17501,1.17519,1.17477,1.17478,1338.21
2026-05-07 06:30:00+00:00,1.17477,1.17564,1.17451,1.1756,2711.44
2026-05-07 06:45:00+00:00,1.1756,1.17567,1.17448,1.17479,3362.13
2026-05-07 07:00:00+00:00,1.1748,1.1767,1.17479,1.17668,4312.52
2026-05-07 07:15:00+00:00,1.1767,1.17686,1.17594,1.17645,3058.52
2026-05-07 07:30:00+00:00,1.17648,1.17678,1.17616,1.17643,2798.8
2026-05-07 07:45:00+00:00,1.17644,1.17674,1.1762,1.17667,2434.59
2026-05-07 08:00:00+00:00,1.1767,1.17675,1.17648,1.17669,2624.72
2026-05-07 08:15:00+00:00,1.17668,1.17714,1.1763,1.17698,2542.75
2026-05-07 08:30:00+00:00,1.17698,1.17734,1.1768,1.17698,1573.85
2026-05-07 08:45:00+00:00,1.17697,1.17741,1.17694,1.17716,1405.62
2026-05-07 09:00:00+00:00,1.17717,1.17718,1.17657,1.17682,2114.48
2026-05-07 09:15:00+00:00,1.17684,1.17698,1.17657,1.17685,1795.98
2026-05-07 09:30:00+00:00,1.17685,1.17772,1.17679,1.17767,1926.72
2026-05-07 09:45:00+00:00,1.17767,1.17783,1.17692,1.17703,1913.1
2026-05-07 10:00:00+00:00,1.17702,1.1776,1.17679,1.17751,1998.3
2026-05-07 10:15:00+00:00,1.1775,1.1776,1.1773,1.17747,2358.45
2026-05-07 10:30:00+00:00,1.17748,1.17758,1.17696,1.17716,2394.31
